pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
Vire-Normandie France,Week-end en famille ,5,Superbe  rénovation  de l hôtel. Les fans de Marvel  se régalent.  Chambres modernesrefaites avec goût.  Salle de bain neuve. La télévision incrustée dans le miroir  est géniale.  Piscine  avec une eau à 29 degrés.  Baignade  extérieure mi septembre les serviettes  sont prêtées  à la piscine.  Personnel très serviable  et agréable.  Les 4 étoiles sont méritées.  Belle  découverte et superbe week-end.,septembre 2021,,Raphael D a écrit un avis (sept. 2021),False
,DECEPTION,2,"La rénovation est agréable la décoration actuelle !  Mais très grosse déception. A l'arrivée les chambres choisies au moment de la réservation n'étaient pas celles attribuées. J'ai du me battre pour avoir deux grands lits doubles (ce que j'avais réservé) ils voulaient absolument faire dormir mon fils de deux ans sur un ""sofa bed"".  Les serviettes de toilettes étaient tachées ...   De la poussière partout (étagère salle de bains sous le lit grille de climatisation ...   Après le passage de la femme de chambre j'ai retrouvé les doudous de mon fils au sol sous le lit ... Elle a du secouer les draps sans prendre la peine de ramasser les doudous tombés  La baignoire qui est pourtant neuve était émaillée   Le tiroir sous la cafetière était plein de toile d'araignée ...  …",septembre 2021,,Sophie F a écrit un avis (sept. 2021),False
Brunoy France,Super séjour rénovation au top. ,5,Ravie d avoir pu séjourner dans cet hôtel très bien rénové avec une ambiance incroyable. Les chambres sont très modernes avec un miroir écran impressionnant. Le personnel est au petit soin surtout les serveurs du petit déjeuner ! Nous y reviendrons avec plaisir... Mais pendant des promos car ca reste un budget. ,juillet 2021,,marjorieponcet91 a écrit un avis (sept. 2021),False
,Magnifique hotel et bon service,5,La chambre est très grand le lit est tres confortable.  Comme un musée de Marvel partout on voit des tableaux magnifique.  Le service est agréable. On a mangé restaurant Manhattan  les plats sont bien copu et délicieux. Le service est parfait. Ca vaut le coup de payer un endroit magnifique.,septembre 2021,,Takako M a écrit un avis (sept. 2021),False
,Au top !!,5,Magnifique hôtel !! La galerie d’Art Marvel est exceptionnelle ! L’hôtel plaira aussi bien aux enfants qu’aux plus grands 😊  Nous avons séjourné dans une chambre Supérieure avec vue sur le jardin - rien à dire ! Deco épurée avec une pointe de Marvel  Présence d’une bouilloire machine à café (capsule) thé un petit frigo table à repasser coffre-fort sèche cheveux La visite guidée faite par le CM Allan (merci à lui pour sa bonne humeur) fût très intéressante et ludique ! Nous la recommandons à tous ! Elle dure environ 1h et est gratuite (réserver à la réception) Nous avons bien retenu la leçon : ce n’est pas l’hôtel Marvel mais Disney’s Hôtel New-york - The Art of Marvel  En dehors de cette visite n’hésitez à vous balader à chaque étage (et au RDC) car il y a de belles…,septembre 2021,,Anh-Thy B a écrit un avis (sept. 2021),False
,Hôtel de qualité mais service laissant à désirer !,3,"Un hôtel très bien refait mais un service laissant franchement à désirer : - aucune solution trouvée pour se changer avant l'heure de disponibilité de la chambre (15h) - service de réservation de restaurants non fonctionnel ; réponse de la réception : se débrouiller seul - climatisation cassée le dernier soir et malgré trois visites à la réception aucune solution trouvée. Lorsque nous avons signalé l'incident le lendemain aucune trace de nos demandes et on nous a ""invité"" à faire la réclamation en ligne : aucun suivi de celle-ci évidemment. Disney semble oublier que les visiteurs sont aussi des personnes...",août 2021,,Grégoire H a écrit un avis (sept. 2021),False
,Un séjour en tout point magique,5,Nous revenons tout juste d'un séjour de deux nuits à l'hôtel New York - The Art of Marvel. Séjour magique de bout en bout. Nous avions réservé une chambre Empire State Club et avons eu la chance d'être surclassés dans la SuperHero suite du huitième étage. La chambre pourvue d'un grand lit double et d'un salon avec canapé lit est magnifique. La décoration sur la thématique Marvel à la fois présente sans être excessive dans des tons rouges noir beige et blanc harmonieux. La salle de bain possède une baignoire jacuzzi pourvue d'un jeu de lumière qui nous a beaucoup amusés. La vue depuis le huitième étage même donnant plutôt sur l'arrière de l'hôtel (donc les parkings) permet d'apercevoir Hyper Space Mountain et le Château de la Belle au Bois Dormant et nous avons bénéficié de…,septembre 2021,,Valma A a écrit un avis (sept. 2021),True
La Roche-sur-Yon France,Hôtel excellent !,5,Nous avons passé une nuit dans cet hôtel magnifique  sur le thème Marvel parfait pour les fans et totalement immersif ! Merci à Frédéric à la réception pour son dévouement  Tina pour la suite Spiderman avec vue impressionnante sur le parc et le lac du Disney Village et Nair pour nous avoir fait visiter et commenté les nombreux tableaux et oeuvres présentes à la réception de l'hôtel!  Enfin merci à toutes les équipes pour leur gentillesse et leur dévouement à rendre notre séjour le plus agréable possible !!!  #castcompliment #disneylandparis,septembre 2021,,lionel85000 a écrit un avis (sept. 2021),False
Châteauroux France,Top,5,Un hôtel qui a été superbement rénové sous le thème Marvel . Pour les fans (ou non ! )allez y sans hésiter ! Personnel serviable chambre superbes  propres . Le concept est bien pensé .  Piscine chauffée er agréable,août 2021,,HELGREM a écrit un avis (sept. 2021),True
,Une princesse sauvé,5,Nous revenons de notre week-end au Marvel hotel (étant des fans de super héros) tout le personnel a été au top du service petit dejrestoboutique.... aux parcs Une mention spéciale à la gouvernante France qui a sauvé le séjour de notre louloutte (qui a eu un gros accident de chocolat chaud sur une robe de princesse qu'on pensait irrécupérable) Elle s'est démenée pour trouver un pressing le week et rendre une robe comme neuve à notre princesse. Nous avons passé deux jours de folies avec des prestations au TOPencore un grand merci à toutes les équipes,août 2021,,Myriam N a écrit un avis (août 2021),True
,Très bon hôtel,5,C’est un hôtel refait à neuf l’immersion de le monde de Marvel est immédiat! Les chambres les restaurant et l’hôtel en lui même sont décorés à la perfection.  Il y a qu’une seule ombre au tableau le skyline bar sa décoration est parfaite mais l’accueil est une autre histoire. Nous avons été placé au milieu de la salle personne ne s’occupe de nous lorsque nous interpellons une serveuse elle nous indique que nous faisons pas partie de sa partie de salle et pour finir nous avons dû aller au bar nous même pour qu’un serveur daigne se déplacer pour nous ramener nos cocktails avec la glace qui avait déjà fondue!! Nous sommes très déçu de l’accueil.,août 2021,,Connector401822 a écrit un avis (août 2021),True
,Cher pour les prestations,3,Séjour de deux jours une nuit à l'hôtel MARVEL. La décoration est belle le personnel sympathique comme dans tous les hôtels de Disney faits jusqu'à présent. Ni plus ni moins. Cependant les chambres vu les prix laissent à désirer. Lits petits en taille pour des hôtels de ce prix ménage pas au top et finitions faites à la va vite (tache de peinture sur les carrelages de salle de bains plinthes ..) toilettes dans la salle de bain et aucune vue de la chambre mise à part des toits !!  Pour notre part aucune intention particulière lors du séjour ou des cadeaux de bienvenue dans la chambre.  Vu les prix nous ne retourneront pas dans cet hôtel pour notre prochain séjour.,août 2021,,Nath G a écrit un avis (août 2021),False
,Très bel hôtel,4,Si vos enfants ou vous même êtes fan de Marvel vous êtes au bon endroit !  Pour commencer le personnel est remarquable et très professionnel. Nous avions le service réception privée et salle de repos avec tea Time et nous ne sommes pas déçu de la prestation. Restaurant en buffet à volonté et l’italien très bon  . La décoration de cet hôtel est  juste époustouflante si vous êtes passionné de Marvel ! Des petites attentions et cadeaux tous les jours chambres faites régulièrement chaque jour . Piscine au top ( les enfants n’ont pas pied ) brassard ceinture à dispo .  Très bon séjour et vraiment merci au personnel,août 2021,,Powpit a écrit un avis (août 2021),True
france,hôtel et service digne du Disneyland hôtel,5,Nous avons été conquis par l’hôtel.  Le service est digne du Disneyland hôtel. Nous avons un grand professionnalisme du personnel. Les chambres sont grandes et modernes. Grandes serviettes pour s’envelopper le corps à la sortie du bain. Une TV immense des lumières de partout. Un service au top (chambre faite plusieurs fois par jour et d’agréables attentions le soir sur le lit). Pour les prestations de l’hôtel : la piscine était très bien. Nous n’avons pas été emballés par le bar mais le restaurant était un grand moment de plaisir. On a apprécié la formule à volonté qui nous a permis de déguster agréablement  les différentes saveurs des plats. Le point photo avec Spiderman et les autres stations étaient très bien aussi. Nous avons regretté toutefois certaines choses : la porte…,août 2021,,bonnevacances a écrit un avis (août 2021),False
Mauvaisin France,Le top!,5,Nous avions une réservation en chambre Empire State Club. La réception est top individuel dans un salon privatif. Nous avons d’abord eu droit à un rafraîchissement afin d’attendre qu’une personne soit dispo.  Tout était prêt ils nous ont même trouvé des réservations dans le restaurant Manhattan pourtant complet.  La personne qui a fait notre enregistrement nous a accompagné dans notre chambre.  La chambre était magnifique et vraiment très agréable.  Les lits sont top la vue sur le lac parfaite.  Les services de l’hôtel sont impeccables les employés très sympathiques. Plusieurs petit cadeaux dans la chambre.  Les matelas sont hyper confortables.  La piscine est top pour se détendre après une journée au parc.  Les petits déjeuners sont pris dans un salon a part le services…,août 2021,,Xuog a écrit un avis (août 2021),True
Belgique,Tres bien,4,Pour l anniversaire de mon fils nous avions réservé à Disney l'acceuil etait tres bien malgré beaucoup de monde la chambre décoré sur le thème Marvel  le service bagagerie s est chargé de monter nos valises on nous a offert un tableau Marvel et des cocktails (sans alcools). il y avait meme un service de voiturie.  La chambre très bien équipé très bonne literie très confortable salle de bain très propre chambre bien insonorisée  Depuis sa renovation l'Hotel est tres bien et tres design.  tres calme au niveau des chambres et dans l'ensemble de l'hotel.  Mon fils etait tres content de prendre des photos avec Spider Man à l hôtel nous aussi d'ailleurs.,août 2021,,SandyCharleroi a écrit un avis (août 2021),False
Crepy-en-Valois France,INCROYABLE SURPRISE,5,Connaissant l'hotel New york avant sa rénovation autant je le trouvais froid et sombre autant la je fus bluffée. Le hall est tellement lumineux mais pas que. Des surprises nous attendent dans le hall. L'hôtel est super bien agencé et l'on ne peut pas se perdre. Les indications sont très claires. La rencontre avec Spiderman était juste géniale. Il faut réserver par contre. Les restaurants sont superbes et la chambre..... Outre le fait qu'elle n'est vraiment plus rien à voir avec l'ancienne la déco est design et chic. Les lampes près des lits sont tellement originales sans compter la télé sur le miroir.... la salle de bain est très fonctionnelle et les WC une fois n'est pas coutume sont séparés par une porte. Et la cerise sur le gâteau des prises et des ports USB partout…,août 2021,,magali0304 a écrit un avis (août 2021),False
Verdun France,MARVELous,5,Une expérience unique.  A mi chemin entre l’hôtel de luxe et le musée d’art moderne le Disney’s New York The art of Marvel après sa profonde réhabilitation est une véritable œuvre d’art.   La thématique new-yorkaise est toujours bien présente avec une touche Marvel hyper graphique sans tomber dans le « too much ».   Luxueux et élégant. Voilà les qualificatifs à retenir.  Quant au service il est digne des standards attendus et des prétentions que ce nouvel hôtel souhaite imposer.   Si la magie Disney est toujours là ? Oui ! Avec une ambiance Marvel et une volonté de haut standing assumées.   Une seule envie : y retourner.,juillet 2021,,GG55100 a écrit un avis (août 2021),False
,🎂🎂 Anniversaire de mon fils 🍰🍰,5,Pour l anniversaire de mon fils nous avions réservé une semaine à Disney dans une chambre avec terrasse.  A peine arrivé le service bagagerie s est chargé de monter nos valises on nous a offert un tableau Marvel et des cocktails  (sans alcools). Nous avons été très bien accueilli la chambre décoré sur le thème Marvel (ballon guirlandegâteau...) nous avons même eu un appel téléphonique de la part de Mickey pour lui souhaiter un bon anniversaire mon fils était émerveillé 😊😊 La chambre très bien équipé très bonne literie très confortable salle de bain très propre. Télévision très chic intégrée. La conciergerie toujours au petit soin notamment pour le restaurant que nous avions oublié de réserver et en 5 minutes nous avions notre table tous les soirs au restaurant…,août 2021,,Gabriel S a écrit un avis (août 2021),True
,Une catastrophe.,1,Arrivé nous demandons comme celà nous avait été indiqué par téléphone une place au restaurant de l'hôtel. Étant client de l'hôtel nous nous attendions à étre prioritaire sur les non clients et bien pas du tout. Un certain Nicolaï de la conciergerie nous a indiqué dans une froideur totalement hors contexte disney qu'on nous avait mentis au téléphone et que nous devions nous débrouiller pour manger le soir avec nos jumelles de 2 ans et demi. Super. Après une journée bien remplie au parc nous rentrons à l'hôtel et demandons où se trouve notre chambre car tout est très mal indiqué. Un employé nous dit qu'il doit activer nos cartes avant et fait grosse boulette qui plante le système à ces dires. Conclusion 30 minutes d'attente à 21 heures avec nos filles allongées par terre. Une…,août 2021,,Lucrèce P a écrit un avis (août 2021),False
Bagnols-sur-Cèze France,Top,5,Nous avons eu la chance d’y passer 3 nuits lors d’un séjour au parc  c’est un très bel hôtel où l’ensemble des cast members sont vraiment très sympathiques et serviables ( mention spéciale à Léna du skyline) ; la chambre dont on a bénéficiée était très chouette et étant handicapée elle était très fonctionnelle en plus d’être joliment décorée. Bref il a été très dur de partir mais nous reviendrons,août 2021,,morgadrien a écrit un avis (août 2021),False
,Sublime Hôtel de très haute qualité,5,Nous avons passé un excellent moment en famille dans ce sublime hôtel tous les membres sont aux petits soins la chambre est parfaite belle propre super literie et déco magnifique ! Le restaurant Manhattan est majestueux la cuisine est excellente du goût des bons produits frais des assiettes très bien présentées. On a aimé les expériences Marvel les photos les ambiances… on était triste de partir on va vite revenir en famille et avec des amis pour qu’ils puissent découvrir ce fabuleux endroit. En demi-pension c’est l’idéal ! Le petit-déjeuner est à tomber!!!! Franchement c’est le plus beau hôtel qu’on est fait et pourtant on en a fait plusieurs !!!! Celui-là est vraiment à part…. Bravo au design,août 2021,,bibi77 a écrit un avis (août 2021),True
,Super nous reviendrons !,5,Nous avons passé un très bon séjour dans cet hôtel. Notre chambre était jolie propre et la literie très confortable. Les couloirs sont magnifiques avec des œuvres d’art unique partout c’est très réussi ! Et le hall de l’hôtel nous transporte directement dans l’univers Marvel mes fils étaient aux anges ! Le personnel est aux petits soins mention spéciale pour le service du petit déjeuner mon fils étant malade cœliaque un serveur c’est occupé de lui tout le long pour lui proposer des choses sans gluten. Merci !  La seule petite déception c’est d’avoir une douche et non une baignoire mais c’est une affaire de goût !,juillet 2021,,Jane a écrit un avis (août 2021),True
,Hôtel grandiose,5,Quel superbe hôtel. J ai séjourné deux nuits dans la suite présidentielle infinity et une merveille avec une vue incroyable ! Le personnel aux petits soins. Une qualité de service du bagagiste au encadrants digne des grands palaces parisiens! Merci a christina pour sa disponibilité et son professionnalisme ; eddy service bagage: stephane ; cyril etc j en oublie.. mohamed service brunch la llste est longue.tellement la qualite est omniprésente Au top du top.a tres bientot Mr arman....client du 14 et 15 août 2021 suite présidentielle,août 2021,,Sarkoleone a écrit un avis (août 2021),False
Nivelles,Manque de considération,1,"Si les chambres sont confortables elles ne justifient cependant pas le nouveau tarif ! D'autant que la nouvelle déco ne ravira QUE les fans Marvel. Que dire d'ailleurs du bar de l'hôtel ! C'est le plus gros ratage de la rénovation. Un cadre impersonnel avec juste trois écrans donnant l'illusion d'être au sommet d'un gratte-ciel dans un New-York au style ""Avengers"". J'y ai en plus vécu une mauvaise expérience quant à l'accueil. Entrée refusée car nous étions six personnes en famille dans l'esprit Disney en fait le comble !!! Je n'ai pas hésité à rédiger une plainte par mail mais la réponse reçue trois semaines plus tard était pathétique. Jugez vous-même :  ------  Disneyland® Paris 12 août 16:03  M  Nous avons bien reçu votre courrier et vous en remercions.  Nous déplorons…",juillet 2021,,Bernard F a écrit un avis (août 2021),False
Torcy France,Féérique,5,Pour avoir déjà séjourné au Disneyland Hotel on est dans la même gamme même si cet hôtel est curieusement classé 4 étoiles. Pour les fans de Marvel c'est un véritable régal la déco est fabuleuse et un espace photo permet de prendre des clichés amusants. Les chambres sont assez spacieuses et bien équipées. La piscine est plutôt grande avec une partie extérieure. Par contre les peignoirs ne sont pas fournis. Le personnel est très gentil. Le petit déjeuner est servi à table en raison de la situation sanitaire. Il est très complet et à volonté par contre les oeufs brouillés sont un petit peu industriels.,août 2021,,Thierry L a écrit un avis (août 2021),True
Nancy France,Très bel hôtel avec des tarifs de 5* parisien..,4,L'hôtel est neuf  l'accueil est chaleureux  la zone réservée aux locataires de chambres estate club est fort sympathique . Chambre spacieuse  équipements haut de gamme  literie très confortable  c'est propre rien à redire . 2 bars au rez de chaussé proposant des cocktails et snaks à tarif Disney soit 15-16€ le cocktail alcoolisé ou 15€ l'assiette de beef jerky qui en gros est juste un sachet de boeuf séché industriel sortie du paquet ... le tarif de l'hôtel  certes en plein mois d'août .. une chambre estate à deux pour une nuit ( ok entrée parc sur 2j inclus ) a 1100€ .. bref  encore une fois l'hôtel rien a redire  mais tout est hors de prix encore une fois  comme pour tout dans le complexe de Disneyland Paris. Et tout ça pour avoir la malchance d'avoir une chambre avec…,août 2021,,Yifei Z a écrit un avis (août 2021),False
,Superbe hotel,4,L hotel les infrastructures sont top. La décoration est raffinée  moderne et marvel est partout. Top Les points négatifs   Les ascenseurs  pffff 3 ascenseurs longs très longs du coup beaucoup d attente Nous avons été déçu de ne pas rencontrer  voir des héros marvel spiderman sur rdv mais c est tout.  C est notre plus grosse déception car sinon l hotel est top,août 2021,,breizvoyage a écrit un avis (août 2021),False
,Très haut de gamme!,5,Très haut de gamme  Décoration raffinée et vraiment très cool pour les fanas de Marvel. Comme souvent à Disney équipe serviable Les chambres sont luxueuses et très modernes sans être immenses. Tout est très propre  La.piscine est appréciable il y a aussi un magnifique terrain de basket et des appareils de musculation extérieurs  Situé à l'entrée du Disney Village donc moins de 5min à pied de l'entrée des parcs,août 2021,,Benjamin B a écrit un avis (août 2021),False
,super hôtel mais restaurant horrible,3,hôtel super   chambre suite idem petit déjeuner au salon  impeccable  jacuzzi en panne le restaurant Manathan horrible  nourriture  incipide pas de voyage en Italie et la serveuse !!!!! retirer les assiettes alors qu'une personne mange encore n'a pas fini 2 ème erreurs  une personne n' a pas fini le dessert  pas le temps de demander un café  addition sur la table sans l'avoir demandé.  très déçue de ce restaurant à revoir...  je reviendrais que pour l'hotel et les parcs .,août 2021,,Jenny B a écrit un avis (août 2021),True
,Dîner au restaurant Downtown,2,Après notre journée au parc Disneyland nous avions réservé Un dîner au restaurant Downtown à l'hôtel Marvel. Nous avons l'habitude des repas buffet de Disney et avons été très déçu le prix est hyper cher pour une ambiance cantine et les plats très décevant. Et pour terminer j'ai été malade toute la nuit.  Restaurant à éviter !!!!,août 2021,,Emilie B a écrit un avis (août 2021),False
Cannes France,Pas à la hauteur du prix,1,"Nous sommes venus en famille pour 2 nuits le lendemain de la réouverture et malgré la beauté de l'hôtel nous avons été fortement déçus du service. Nous avons demandé à la réception si la piscine fonctionnait normalement avec l'épidémie et la réception nous a répondu que oui mis à part la jauge la piscine était ouverte. Arrivés là bas uniquement la piscine extérieure et le jacuzzi l'étaient (il pleuvait et faisait 10°) . Si nous avions su cela nous n'y serions jamais allés. Du coup nous avons ""profité"" du jaccuzi et mon fils s'est malheureusement ouvert l'arcade sur le sol extrêmement glissant et les secouristes sur place n'ont vraiment pas été à la hauteur ils nous en fait poireauter 1h15 pour remplir une fiche incident alors que mon fils pissait le sang et que nous voulions…",juillet 2021,,CassandreR a écrit un avis (août 2021),False
Poitiers France,Avis Mitigé,2,Plutôt déçue de cet établissement... Habitués de Disneyland Paris nous avions hâte de tester ce nouvel hôtel. Heureusement que la décoration et l'hôtel en lui même sont magnifiques. Pour le reste.... il n'est pas du tout à la hauteur d'un 4 étoiles ! Arrivée prévue vers 22h avec des enfants en bas âge en voiture personne pour nous prendre nos bagages. La réception nous attendait mais la chambre n'était pas prête. Obligés d'attendre plus de 30mn avec un personnel qui semblait totalement perdu. Impossible de réserver le restaurant de l'hôtel pour lendemain soir. Nous avons eu un soucis de climatisation bloquée sur 10 degré en pleine nuit impossible d'avoir une maintenance. Après plus de 45mn d'attente nous avons annulés notre demande étant donnée qu'il était minuit avec des…,août 2021,,Camille B. a écrit un avis (août 2021),False
,Déçu pas de magie,2,Déçu pas un personnage dans  l’établissement pas de petites attentions rien  Pas vraiment de magie pour les enfants  Les restaurants tt simplement hors de prix Pas contre très propre et bonne literie  Mais dommage de pas avoir fait des chambres familiales un peu séparées,juillet 2021,,Caroline H a écrit un avis (août 2021),False
,Super séjour,5,Tout commence par le lobby et son décor. Un endroit sorti des meilleurs comics. La réception était un peu débordée car la discipline de la clientèle est parfois dur à faire respecter. Il y a des lignes pour patienter.... C'est pas du décor. Le service conciergerie et le service bagagerie sont d'une gentillesse inouïe. J'ai eu la chance de tester le restaurant buffet le soir je le recommande !!!! Un choix multiple et de qualité dans un décor art déco les équipes de cuisines et de salle vont font passer une excellente soirée.  Les bars sont très sympa peut être revoir les horaires 2 bars le soir serais peut être bien. Après c'est peut être du à la situation actuelle qui n'arrange rien.  J'ai eu la chance de prendre le petit dej au Mannathan superbe endroit.  Les chambres sont…,juillet 2021,,Matthias F a écrit un avis (août 2021),False
Aix-en-Provence France,Rapport qualité / prix en dessous de la moyenne,2,J'ai fait un séjour dans le nouvel hôtel New York Marvel du 25/07 au 26/07/2021. J'ai quelques commentaires à partager concernant la prestation que je considère pas du tout au niveau surtout vu le prix de la nuitée:  Mes commentaires:      le 25/07 on me donne une chambre communicante à une autre chambre. Ayant déjà eu la mauvaise expérience de ce type de chambre dans un hôtel (Bruit d'une famille rentrant tard et mettant la télévision la nuit m'empêchant de dormir). Je descends à la réception pour dire que je n'accepte pas ce type de chambre. On me dit qu'ayant demandé une chambre avec douche c'était la dernière chambre avec douche disponible raison pour laquelle elle m'a été attribuée.         Cela faisait longtemps que j'avais réservé donc me dire que c'était la…,juillet 2021,,Paul P a écrit un avis (août 2021),False
Cambrai France,Un peu déçu,3,Très belle rénovation et emplacement idéal. Accueil parfait et service de bagagerie fort utile Service de conciergerie très réactif mais au regard du prix ce qui nous semble des manquements : douche qui se transforme en piscine olympique jusque dans la chambre nécessitant de déposer une serviette derrière le pare douche pas de brosse de toilettes Lavabo qui s’évacue difficilement et prix qui me semblent excessif au niveau du bar les cocktails étant  composé à plus de 80% de glaçons… alors si vous rajoutez l’absence de défilé l’absence de feux d’artifice et un village qui fonctionne au ralenti… un peu déçu au regard du prix,juin 2021,,olivie1969 a écrit un avis (juil. 2021),False
,Rénovation réussie,5,Après avoir connu l'ancienne version de l’hôtel New York juste avant sa rénovation et là avoir découvert la version Marvel quel changement !!! L'hôtel est superbe à l’intérieur comme à l'extérieur. Les Casts sont très prévenant et de bon conseil. Vous êtes transporté directement à New York au QG des Avengers. Le restaurant Manhattan est à faire si vous en avez l'occasion (mention spécial au cast qui m'as servi). La chambre est vraiment très réussie avec en surprise la vue sur le lac.  Très spacieuse literie très confortable thé café deux bouteilles d'eau en cadeau douche de très bonne taille. Seul bémol le manque d'une brosse de toilette Le petit déjeuner parfais avec pas mal de choix service à table Covid oblige. Petit cocktail de bienvenue pour la réouverture à prendre…,juillet 2021,,Kévin a écrit un avis (juil. 2021),False
Montigny-le-Bretonneux France,rénovation réussie,4,Très bon accueil. La rénovation est réussie décoration très jolie et vous transporte tout de suite dans le monde de Marvel. Les chambres sont grandes et très belles modernes et design. Nécessaire à café et thé dans la chambre très appréciable en plus des 2 bouteilles d'eau offertes. Différents types d'oreillers sont présents dans la chambre pour satisfaire les plus exigeants. Les lits sont très confortables mais beaucoup trop petits pour 2 adultes (en largeur) J'ai beaucoup aimé cet hôtel.,juillet 2021,,Emma Nao a écrit un avis (juil. 2021),False
,Mariage réussi Art Déco & Comics,4,Séjour en famille en chambre supérieure avec 2 enfants (8&9 ans) en juillet 2021 (période COVID).   Très content de ce séjour dans un hôtel très bien rénové mais pas forcément optimisé pour des jeunes enfants.  Pas d’avis sur le rapport qualité/prix car nous avons réservé en dernière minute.   Les plus - l’accueil sympathique par l’ensemble du personnel : réception restauration entretien loisirs - la magnifique décoration art déco avec une thématique Marvel. On a envie de visiter tout l’hôtel pour découvrir les oeuvres - la super hero station qui permet de rencontrer des super-héros et de faire des photos mythiques - la restauration buffet (servi à table cause COVID) pour le dîner et le petit déjeuner - la chambre magnifique et bien conçue : plein de prises USB pour charger…,juin 2021,,Largo57 a écrit un avis (juil. 2021),True
Haute-Savoie France,Pour les fans de Marvel,3,Nous avons pris cet hôtel par dépit car nous voulions réserver à l'hôtel Disneyland mais il était en rénovation.Le hall d'entrée est magnifiqueon est directement transporté dans l'univers de Marvel.Nous avons séjourné au premier étagechambre 1170.La chambre était correcte mais sans plus.Bonne literiemais il n'y avait aucun produit de beauté sur le lavabo sauf un petit savon (certesil y en a dans la douche mais en grand format) et chose qui m'a le plus ennuyépas de mouchoirs du tout !Pas de brosse toilettes non plus.Pour le prixon pourrait avoir tout ça il me semble.Le mur dans la salle de bain était abîméça mériterait un coup de peinture.Niveau insonorisationce n'est pas terriblenous avons été dérangé par la chambre 1168 malgré le mur en béton.Le petit-déjeuner est très…,juillet 2021,,Mihoko P a écrit un avis (juil. 2021),True
Marseille France,BELLE REUSSITE,5,belle réussite sur le thème des héros Marvel le new york a été très bien rénové il est superbe moderne  a la hauteur de nos attentes tout le confort attendu la literie est au top les services sont la la déco est classe sans être envahissante  comme d’habitude les cast members sont merveilleux bravo disney,juin 2021,,123coco1 a écrit un avis (juil. 2021),False
Paris France,Ne vous blessez pas là-bas c est lamentable,1,Suite à une envie de voir le bel hôtel Marvel et faire découvrir à ma jeune fille de 5 ans la magie de Disney nous nous y sommes rendus en famille.  Ma femme et ma fille ont été servies. Il fait beau on marche énormément car des barrières partout qui vous font circuler dans un sens et dans un autre. Des boutiques fermées.  Nous avons envie d un bel endroit ouvert … bah le nouveau hôtel …. Chouette.  Sur le chemin ma fille se blesse au pied.  Nous demandons à l accueil de cet hôtel un pansement  Ils me disent attendez un pompier arrive très bien merci.  2 mn se passent  on me demande « vous êtes de l hôtel ? » Non juste de passage pour visiter et boire un verre.  Le monsieur me dit qu il ne fera rien pour moi.  Que je peux aller acheter mon paquet de pansements à la…,juin 2021,,Thomas L a écrit un avis (juil. 2021),False
,Excellent,5,Super à tous niveaux . Ils sont à l'écoute et aux petits soins . Personnel génial.  Chambre super . Nous sommes ravis et y retournerons avec plaisir . Restaurant et petit déjeuner parfait.  Je vous conseil vivement cet hôtel..,juillet 2021,,YANNICK MARCHAL a écrit un avis (juil. 2021),False
Metz France,Une super week end en famille,5,Merci Nous avons passé un excellent séjour en famille. L’hôtel est top ils l’ont vraiment bien refait. Une décoration superbe les chambres magnifiques avec de bons lits. Un personnel toujours souriant avec toujours un petit mot gentil que ce soit à la réception au restaurant le downtown ( ou nous avions très bien mangé)  au skyline bar et sans oublié tout le personnel des 2 parcs ils font un super travail. Merci pour ce séjour les enfants étaient émerveillés et les grands aussi 😉,juin 2021,,morgane1983 a écrit un avis (juil. 2021),True
,Super!!,5,Super hôtel chambre très confortable. Très bon repas au Downtown Restaurant. Personnel au petit soin. Et de supers tableaux à admirer dans les couloirs. Il faut casser la tirelire mais franchement ça vaut le coup surtout en ces temps où partir en vacances est compliqué,juillet 2021,,Yas M a écrit un avis (juil. 2021),False
,Week-end au New York,5,Nous avons passé un excellent moment à l'hôtel New York en chambre empire state club. Tout était parfait ! Le personnel est d'une extrême gentillesse  notamment au lounge et au dowtown Restaurant. Mention spéciale au chef Philippe pour sa gentillesse et la qualité des plats proposés. Petit déjeuner et tea time du lounge au top également.  L'hôtel est vraiment magnifique. Seul tout petit bémol Sms pour la disponibilité de la chambre reçu à 17h15 seulement..un peu tard A refaire !,juillet 2021,,anne sophie d a écrit un avis (juil. 2021),True
Saint-Étienne France,Bien !,4,Séjour dans cet hôtel superbe.  A l arrivée on vous monte vos bagages en chambre sans supplément  On vous explique tout sur l hôtel et c est top. Les chambres sont belles  propres lumineuses fonctionnelles  rien à redire.  Le bar skyline est trop petit et trop d attente 20 min au minimum dommage qu il n y ai pas de terrasse (vu que c est l été…)  Le dontown restaurant (buffet à volonté à table) le soir est super bon et pourtant je suis exigeante de base  franchement rien à redire.  Par contre beaucoup de monde  très bruyant ! Plein a 21h30 .  En revanche gros gros point noir : pas assez de serveurs ! Les pauvres ils courent partout de table en table …  Le petit déjeuné dans ce même restaurant est franchement bof et très cher !!!!  les portions sont a l assiette et…,juin 2021,,olpasay a écrit un avis (juil. 2021),True
